festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Roteiro,1941,The Philadelphia Story,,Donald Ogden Stewart,N,S
oscar,Roteiro,1940,Gone with the Wind,,Sidney Howard,N,S
oscar,Roteiro,1940,Mr. Smith Goes to Washington,,Lewis R. Foster,N,S
oscar,Roteiro,1939,Boys Town,,Dore Schary; Eleanore Griffin,N,S
oscar,Roteiro,1939,Pygmalion,,George Bernard Shaw; Cecil Arthur Lewis; Ian Dalrymple; W. P. Lipscomb,N,S
oscar,Roteiro,1938,A Star Is Born,,William A. Wellman; Robert Carson,N,S
oscar,Roteiro,1938,The Life of Emile Zola,,Norman Reilly Raine; Géza Herczeg; Heinz Herald,N,S
oscar,Roteiro,1937,The Story of Louis Pasteur,,Pierre Collings; Sheridan Gibney,N,S
oscar,Roteiro,1937,The Story of Louis Pasteur,,Sheridan Gibney; Pierre Collings,N,S
oscar,Roteiro,1936,The Informer,,Dudley Nichols,N,S
oscar,Roteiro,1936,The Scoundrel,,Ben Hecht; Charles MacArthur,N,S
oscar,Roteiro,1935,It Happened One Night,,Robert Riskin,N,S
oscar,Roteiro,1935,Manhattan Melodrama,,Arthur Caesar,N,S
oscar,Roteiro,1934,Little Women,,Sarah Y. Mason; Victor Heerman,N,S
oscar,Roteiro,1934,One Way Passage,,Robert Lord,N,S
oscar,Roteiro,1932,Bad Girl,,Edwin J. Burke,N,S
oscar,Roteiro,1932,The Champ,,Frances Marion,N,S
oscar,Roteiro,1931,Cimarron,,Howard Estabrook,N,S
oscar,Roteiro,1931,The Dawn Patrol,,John Monk Saunders,N,S
oscar,Roteiro,1930,The Big House,,Frances Marion,N,S
oscar,Roteiro,1930,The Patriot,,Hans Kraly,N,S
oscar,Roteiro,1929,Seventh Heaven,,Benjamin Glazer,N,S
oscar,Roteiro,1929,Underworld,,Ben Hecht,N,S
